"","logFC","logCPM","LR","PValue","FDR"
"CLINT1",0.101662609508309,8.12491971028826,1.45946982080267,0.227014496636519,0.99083117613231
"PRDX2",0.097378758270455,7.17437151791513,1.45933885915574,0.227035344461457,0.99083117613231
"AZIN1",0.0994526776589373,8.46113619024139,1.4579947233588,0.227249450899789,0.99083117613231
"B4GALNT1",-0.152957835858215,4.4359701511529,1.45722410224629,0.227372312038064,0.99083117613231
"HEXIM1",0.163947979757949,6.4410235291893,1.45587161614773,0.227588133772572,0.99083117613231
"CDKN2C",0.119134678951852,4.95698192996726,1.45456226212048,0.227797307420067,0.99083117613231
"HDGFRP3",0.10971585017919,5.60400010652016,1.45407577166753,0.227875084778371,0.99083117613231
"INO80",-0.118084481852407,6.68905491423494,1.45374663166163,0.227927723943537,0.99083117613231
"TMEM219",0.118190993839974,5.1857609923499,1.45313074368595,0.228026261829029,0.99083117613231
"HSPD1",0.104438783166424,10.7136843284206,1.45286106175575,0.228069425231198,0.99083117613231
"POLR1D",0.0986744717059089,6.85334838942503,1.45261251489144,0.228109214604843,0.99083117613231
"HENMT1",0.118073299799068,5.04511133764982,1.45242748098962,0.228138841736209,0.99083117613231
"PFDN5",0.0967076086286362,7.76050525966314,1.4503315406141,0.228474761468076,0.99083117613231
"BLM",-0.154103733622199,4.33285059674666,1.45022249873057,0.228492254064419,0.99083117613231
"CASP7",0.152438500224814,4.21085436519697,1.45021616319825,0.228493270465704,0.99083117613231
"PSEN2",0.15894640158727,3.81267950259592,1.44969657256623,0.228576646242122,0.99083117613231
"TLDC1",-0.156886165415672,3.8692632163799,1.44954305364341,0.22860128756275,0.99083117613231
"RPL26",0.115772371762519,5.88180924508863,1.44937219818378,0.22862871532911,0.99083117613231
"RWDD1",0.115510782071751,6.32205541205172,1.44935438120376,0.228631575752303,0.99083117613231
"CNTNAP1",-0.20754265778522,3.05993415447142,1.44728784975919,0.228963638985316,0.99083117613231
"PUM2",-0.0929086667432708,7.44857502440802,1.44661929751757,0.229071190405174,0.99083117613231
"EPHB4",-0.0960940800353633,6.56821976589005,1.44659721378546,0.229074744099549,0.99083117613231
"P4HTM",0.109925633755395,5.32240558740779,1.44657064308972,0.229079019920052,0.99083117613231
"SEC24D",0.103135829121509,6.93318834678002,1.44616558777865,0.229144214296262,0.99083117613231
